ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.7 ,15.1 ,17.3 ,19.1 ,21.7 ,22.4 ,20.3 ,21.5 ,20.4 ,19.1 ,14.8 ,13.2 ,18.2 
BAJA CALIFORNIA,14.8 ,13.5 ,15.1 ,17.0 ,22.7 ,22.7 ,26.1 ,27.2 ,27.1 ,19.4 ,16.9 ,13.2 ,19.6 
BAJA CALIFORNIA SUR,18.7 ,18.1 ,20.5 ,21.3 ,25.2 ,26.2 ,28.5 ,30.3 ,29.1 ,25.8 ,21.5 ,18.0 ,23.6 
CAMPECHE,23.1 ,24.4 ,26.1 ,29.0 ,30.1 ,29.6 ,27.8 ,28.8 ,28.8 ,27.9 ,24.9 ,24.5 ,27.1 
COAHUILA,14.8 ,17.5 ,19.7 ,23.5 ,26.4 ,28.9 ,28.4 ,29.4 ,24.4 ,22.3 ,16.7 ,12.3 ,22.0 
COLIMA,24.9 ,25.2 ,24.9 ,25.2 ,27.2 ,28.3 ,27.0 ,28.4 ,28.2 ,27.2 ,26.4 ,24.7 ,26.5 
CHIAPAS,22.0 ,22.9 ,23.8 ,26.1 ,26.5 ,26.0 ,24.6 ,25.9 ,26.1 ,25.2 ,23.2 ,22.4 ,24.6 
CHIHUAHUA,11.5 ,13.6 ,16.1 ,18.1 ,22.5 ,24.9 ,24.1 ,24.5 ,21.9 ,18.4 ,13.6 ,9.6 ,18.2 
DISTRITO FEDERAL,14.3 ,15.7 ,17.5 ,19.9 ,20.1 ,19.8 ,18.5 ,19.3 ,18.3 ,18.3 ,15.7 ,15.4 ,17.7 
DURANGO,12.6 ,13.9 ,16.9 ,18.6 ,22.0 ,23.5 ,22.3 ,22.7 ,20.5 ,18.5 ,13.3 ,11.1 ,18.0 
GUANAJUATO,15.6 ,16.9 ,18.9 ,21.0 ,22.5 ,22.7 ,22.5 ,21.6 ,20.7 ,19.4 ,16.0 ,15.1 ,19.4 
GUERRERO,23.7 ,24.1 ,25.3 ,26.7 ,27.1 ,27.0 ,25.0 ,26.5 ,26.1 ,25.7 ,24.6 ,24.1 ,25.5 
HIDALGO,14.6 ,15.7 ,17.9 ,20.6 ,20.8 ,20.3 ,19.1 ,20.0 ,19.2 ,18.6 ,15.2 ,14.9 ,18.1 
JALISCO,17.9 ,17.7 ,20.9 ,22.0 ,23.7 ,24.4 ,22.1 ,23.3 ,22.8 ,21.8 ,18.3 ,17.7 ,21.0 
ESTADO DE MÉXICO,11.0 ,13.2 ,14.8 ,16.8 ,16.8 ,16.6 ,15.6 ,16.1 ,15.3 ,15.2 ,12.6 ,11.7 ,14.6 
MICHOACÁN,17.4 ,17.3 ,18.9 ,21.5 ,21.8 ,21.9 ,19.8 ,20.8 ,20.2 ,19.5 ,16.5 ,16.5 ,19.3 
MORELOS,19.2 ,21.1 ,22.6 ,24.5 ,24.7 ,23.1 ,21.1 ,22.4 ,22.1 ,22.0 ,19.3 ,19.9 ,21.8 
NAYARIT,22.9 ,23.4 ,24.6 ,25.1 ,27.7 ,28.7 ,26.7 ,28.3 ,28.4 ,27.2 ,25.1 ,21.6 ,25.8 
NUEVO LEÓN,15.7 ,18.1 ,19.8 ,24.3 ,26.7 ,28.7 ,28.5 ,29.6 ,25.3 ,22.6 ,17.5 ,13.1 ,22.5 
OAXACA,21.2 ,22.2 ,23.5 ,26.1 ,26.9 ,26.9 ,24.7 ,25.9 ,25.6 ,25.2 ,22.8 ,22.3 ,24.4 
PUEBLA,15.0 ,15.6 ,17.2 ,19.9 ,19.2 ,19.6 ,18.7 ,19.5 ,19.1 ,18.6 ,15.8 ,15.9 ,17.8 
