ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.1 ,15.0 ,15.5 ,19.6 ,21.3 ,22.5 ,19.1 ,20.0 ,19.1 ,17.2 ,14.0 ,12.9 ,17.4 
BAJA CALIFORNIA,11.6 ,13.3 ,15.6 ,18.2 ,19.4 ,23.8 ,25.5 ,26.8 ,25.8 ,22.4 ,18.3 ,13.5 ,19.5 
BAJA CALIFORNIA SUR,16.9 ,17.3 ,19.0 ,21.9 ,23.1 ,26.4 ,28.1 ,28.3 ,28.2 ,27.1 ,22.9 ,19.3 ,23.2 
CAMPECHE,23.8 ,25.8 ,25.0 ,27.8 ,30.1 ,27.8 ,27.6 ,29.0 ,28.2 ,26.0 ,23.2 ,23.1 ,26.5 
COAHUILA,12.8 ,17.4 ,19.1 ,23.4 ,26.5 ,29.1 ,26.3 ,27.3 ,23.7 ,21.3 ,17.3 ,14.2 ,21.5 
COLIMA,24.3 ,23.6 ,23.5 ,25.9 ,27.0 ,27.4 ,26.3 ,27.4 ,26.8 ,27.0 ,25.6 ,23.6 ,25.7 
CHIAPAS,23.0 ,24.3 ,24.4 ,26.7 ,27.2 ,24.8 ,24.6 ,25.8 ,25.2 ,23.8 ,22.4 ,21.5 ,24.5 
CHIHUAHUA,10.1 ,12.6 ,14.5 ,18.7 ,21.6 ,26.5 ,23.1 ,22.6 ,20.9 ,19.3 ,14.2 ,11.8 ,18.0 
DISTRITO FEDERAL,14.5 ,16.6 ,17.2 ,19.8 ,19.8 ,18.4 ,17.2 ,18.5 ,17.7 ,16.4 ,14.7 ,14.2 ,17.1 
DURANGO,11.3 ,13.7 ,14.9 ,19.0 ,21.0 ,23.8 ,21.3 ,21.2 ,19.1 ,17.6 ,13.6 ,12.0 ,17.4 
GUANAJUATO,14.9 ,17.0 ,25.4 ,27.6 ,28.1 ,21.6 ,19.6 ,20.7 ,19.6 ,24.8 ,15.8 ,14.8 ,20.8 
GUERRERO,23.6 ,24.4 ,17.9 ,21.4 ,22.5 ,26.7 ,24.9 ,25.7 ,25.3 ,18.1 ,24.0 ,22.3 ,23.1 
HIDALGO,14.3 ,16.5 ,16.5 ,20.0 ,20.7 ,19.3 ,18.6 ,20.2 ,18.4 ,16.3 ,15.1 ,14.7 ,17.5 
JALISCO,17.2 ,18.5 ,19.8 ,22.8 ,24.4 ,23.8 ,21.6 ,22.0 ,21.9 ,21.1 ,18.2 ,17.0 ,20.7 
ESTADO DE MÉXICO,11.6 ,13.3 ,14.4 ,17.2 ,17.1 ,16.4 ,15.4 ,16.7 ,15.8 ,14.4 ,12.0 ,11.2 ,14.6 
MICHOACÁN,17.2 ,17.3 ,19.6 ,22.5 ,23.1 ,21.8 ,19.8 ,20.9 ,20.3 ,18.8 ,17.2 ,14.7 ,19.4 
MORELOS,19.5 ,20.8 ,23.3 ,24.9 ,24.5 ,23.0 ,20.9 ,23.1 ,21.7 ,20.8 ,19.3 ,17.6 ,21.6 
NAYARIT,21.5 ,22.5 ,22.8 ,25.7 ,27.5 ,28.1 ,26.3 ,27.4 ,27.5 ,27.5 ,24.6 ,21.9 ,25.3 
NUEVO LEÓN,13.5 ,18.7 ,20.2 ,24.2 ,27.2 ,28.6 ,25.9 ,27.6 ,24.0 ,21.6 ,18.2 ,15.0 ,22.1 
