ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,11.4 ,12.2 ,15.3 ,18.3 ,21.4 ,22.4 ,19.9 ,20.6 ,20.8 ,17.5 ,15.0 ,12.7 ,17.3 
BAJA CALIFORNIA,13.9 ,13.8 ,14.8 ,15.9 ,18.8 ,23.4 ,27.2 ,28.3 ,26.1 ,22.1 ,16.7 ,15.4 ,19.7 
BAJA CALIFORNIA SUR,17.7 ,18.2 ,19.0 ,20.8 ,23.1 ,25.4 ,27.5 ,29.5 ,28.3 ,25.4 ,20.5 ,18.1 ,22.8 
CAMPECHE,21.6 ,23.1 ,24.1 ,28.6 ,29.9 ,29.6 ,28.4 ,28.3 ,28.1 ,25.9 ,25.0 ,21.4 ,26.2 
COAHUILA,11.5 ,12.4 ,17.1 ,22.3 ,26.4 ,28.5 ,26.2 ,28.0 ,22.2 ,22.0 ,17.4 ,13.9 ,20.7 
COLIMA,23.5 ,23.1 ,23.8 ,25.1 ,26.1 ,27.6 ,26.8 ,27.0 ,24.3 ,27.2 ,24.8 ,22.9 ,25.2 
CHIAPAS,21.0 ,23.3 ,24.0 ,26.7 ,26.7 ,26.4 ,25.3 ,24.9 ,25.1 ,23.9 ,22.9 ,21.4 ,24.3 
CHIHUAHUA,9.1 ,10.1 ,13.4 ,18.1 ,21.6 ,25.7 ,23.9 ,24.3 ,26.6 ,18.8 ,13.4 ,12.0 ,18.1 
DISTRITO FEDERAL,13.1 ,14.6 ,18.2 ,18.8 ,20.8 ,20.5 ,18.1 ,18.4 ,17.9 ,16.6 ,14.9 ,12.8 ,17.1 
DURANGO,10.0 ,10.6 ,13.6 ,17.7 ,21.4 ,23.6 ,21.6 ,22.1 ,20.8 ,17.5 ,13.5 ,11.4 ,17.0 
