ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,14.0 ,16.9 ,19.0 ,19.6 ,22.3 ,23.2 ,,,,,,,
BAJA CALIFORNIA,14.3 ,12.2 ,15.6 ,20.4 ,20.4 ,24.1 ,,,,,,,
BAJA CALIFORNIA SUR,18.7 ,18.4 ,20.3 ,22.5 ,22.6 ,26.5 ,,,,,,,
CAMPECHE,23.3 ,26.6 ,26.9 ,28.7 ,31.1 ,29.9 ,,,,,,,
COAHUILA,13.5 ,17.1 ,18.8 ,22.8 ,26.4 ,28.3 ,,,,,,,
COLIMA,25.9 ,25.5 ,26.2 ,25.4 ,26.7 ,29.3 ,,,,,,,
CHIAPAS,23.0 ,24.8 ,25.4 ,26.5 ,27.7 ,26.6 ,,,,,,,
CHIHUAHUA,11.0 ,12.8 ,16.4 ,18.9 ,22.0 ,26.3 ,,,,,,,
DISTRITO FEDERAL,15.4 ,18.1 ,19.2 ,20.2 ,21.4 ,20.1 ,,,,,,,
DURANGO,12.6 ,15.6 ,17.6 ,19.0 ,20.9 ,24.5 ,,,,,,,
GUANAJUATO,15.5 ,18.0 ,20.2 ,20.9 ,23.4 ,22.6 ,,,,,,,
GUERRERO,23.3 ,24.6 ,25.9 ,25.9 ,26.7 ,26.5 ,,,,,,,
HIDALGO,15.4 ,19.0 ,19.5 ,21.4 ,23.7 ,22.0 ,,,,,,,
JALISCO,17.3 ,19.6 ,21.4 ,21.8 ,24.2 ,25.4 ,,,,,,,
ESTADO DE MÉXICO,12.3 ,14.6 ,16.1 ,16.8 ,18.3 ,17.7 ,,,,,,,
MICHOACÁN,17.5 ,19.9 ,21.5 ,21.8 ,23.9 ,23.5 ,,,,,,,
MORELOS,21.4 ,21.9 ,24.4 ,24.6 ,25.4 ,23.6 ,,,,,,,
NAYARIT,22.9 ,23.6 ,24.4 ,25.3 ,26.7 ,29.9 ,,,,,,,
NUEVO LEÓN,14.2 ,18.2 ,19.4 ,22.7 ,26.5 ,28.2 ,,,,,,,
OAXACA,21.4 ,24.3 ,24.4 ,25.6 ,26.7 ,25.8 ,,,,,,,
PUEBLA,14.2 ,18.1 ,18.9 ,20.4 ,22.1 ,20.8 ,,,,,,,
QUERÉTARO,16.6 ,19.2 ,20.8 ,22.3 ,25.0 ,23.2 ,,,,,,,
QUINTANA ROO,23.9 ,26.7 ,27.0 ,28.2 ,30.1 ,30.6 ,,,,,,,
SAN LUIS POTOSÍ,18.4 ,21.8 ,22.2 ,25.5 ,29.2 ,28.5 ,,,,,,,
SINALOA,20.4 ,20.8 ,22.7 ,24.2 ,26.0 ,30.0 ,,,,,,,
SONORA,14.6 ,14.4 ,18.5 ,21.4 ,22.5 ,28.7 ,,,,,,,
TABASCO,23.5 ,26.0 ,26.4 ,28.1 ,31.3 ,29.8 ,,,,,,,
TAMAULIPAS,17.4 ,21.0 ,22.2 ,25.1 ,29.3 ,30.4 ,,,,,,,
TLAXCALA,12.3 ,14.9 ,16.4 ,17.4 ,18.6 ,17.8 ,,,,,,,
VERACRUZ,18.9 ,21.9 ,22.0 ,23.8 ,27.2 ,26.2 ,,,,,,,
YUCATÁN,22.5 ,25.9 ,26.3 ,28.3 ,30.4 ,30.2 ,,,,,,,
ZACATECAS,13.1 ,18.7 ,18.0 ,18.5 ,21.1 ,22.6 ,,,,,,,
NACIONAL,16.6 ,18.7 ,20.5 ,22.6 ,24.8 ,26.7 ,,,,,,,
