ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.8 ,14.7 ,17.9 ,18.8 ,21.8 ,23.5 ,20.3 ,21.3 ,20.0 ,17.8 ,16.3 ,13.5 ,18.3 
BAJA CALIFORNIA,13.7 ,15.5 ,19.2 ,20.4 ,22.7 ,26.4 ,29.3 ,29.0 ,25.5 ,28.0 ,19.2 ,15.8 ,22.1 
BAJA CALIFORNIA SUR,17.8 ,19.3 ,21.8 ,23.1 ,23.7 ,26.6 ,29.8 ,30.8 ,28.3 ,28.0 ,24.3 ,20.7 ,24.5 
CAMPECHE,25.5 ,26.7 ,27.4 ,29.5 ,30.8 ,29.3 ,29.0 ,29.4 ,28.3 ,27.2 ,25.0 ,24.4 ,27.7 
COAHUILA,16.3 ,18.6 ,20.7 ,23.3 ,26.1 ,28.4 ,28.6 ,28.2 ,26.2 ,21.3 ,18.7 ,13.7 ,22.5 
COLIMA,25.0 ,24.9 ,26.2 ,24.7 ,26.5 ,28.5 ,28.8 ,28.5 ,27.7 ,28.2 ,27.7 ,25.8 ,26.9 
CHIAPAS,23.3 ,25.0 ,25.4 ,26.3 ,27.3 ,26.0 ,25.9 ,26.1 ,26.0 ,25.1 ,23.8 ,22.8 ,25.3 
CHIHUAHUA,11.7 ,13.9 ,17.6 ,20.4 ,22.5 ,26.9 ,24.6 ,23.6 ,22.9 ,20.5 ,16.9 ,11.3 ,19.4 
DISTRITO FEDERAL,15.5 ,16.9 ,17.3 ,19.3 ,21.3 ,20.3 ,18.7 ,19.6 ,18.5 ,17.6 ,16.2 ,14.6 ,18.0 
DURANGO,13.4 ,14.9 ,17.6 ,20.2 ,22.5 ,25.0 ,23.0 ,22.4 ,21.0 ,19.5 ,16.5 ,12.5 ,19.0 
GUANAJUATO,15.5 ,17.0 ,19.0 ,20.7 ,23.5 ,22.9 ,20.5 ,21.1 ,20.1 ,18.8 ,17.1 ,15.1 ,19.3 
GUERRERO,23.9 ,24.3 ,25.6 ,26.1 ,27.1 ,26.3 ,25.8 ,25.9 ,25.2 ,25.2 ,24.5 ,22.8 ,25.2 
HIDALGO,15.7 ,17.4 ,18.4 ,19.6 ,23.0 ,22.1 ,20.3 ,21.2 ,19.8 ,18.2 ,16.5 ,14.6 ,18.9 
JALISCO,17.5 ,18.2 ,21.0 ,22.2 ,24.7 ,25.5 ,23.3 ,23.6 ,22.7 ,21.8 ,20.0 ,17.7 ,21.5 
ESTADO DE MÉXICO,11.7 ,12.8 ,14.2 ,15.7 ,17.8 ,17.3 ,15.8 ,16.5 ,15.7 ,14.6 ,12.7 ,12.0 ,14.7 
