client_id,store_id,product_id
1,9130,22625
1,9130,22626
1,7304,18076
1,7304,18076
1,6308,16515
1,9507,23116
1,9507,23116
1,5234,14458
1,5234,14458
1,5234,14460
1,10213,23616
1,10213,23617
1,10213,24087
1,10213,24087
1,10213,24087
2,8895,22050
2,8895,22051
2,8895,22051
2,3955,10980
2,2230,4477
2,2230,4477
2,2230,4478
2,2230,4478
2,2230,4478
2,7908,19355
3,1151,1240
3,3288,8170
3,3288,8170
3,3008,7134
3,3008,7134
3,3008,7134
3,1791,2694
3,1791,2698
3,1791,2698
3,1791,2699
3,1791,2701
3,1791,2775
3,1791,2775
3,1791,2777
3,1791,2777
3,1791,7631
3,1791,7631
3,1791,7632
3,1791,19566
3,1791,19566
3,1791,19567
3,1791,19567
3,1791,19567
3,1791,19568
3,1791,19569
3,1791,19569
3,1791,19592
3,1791,19592
3,1791,19593
3,1791,19593
3,1791,19593
3,1791,19594
3,1791,19618
3,1791,19619
3,1791,19620
3,1791,19620
3,1791,19621
3,1791,19844
3,1791,19844
3,1791,19845
3,1791,19845
3,1791,19845
3,1791,19846
3,1791,19847
3,1791,19847
3,1791,19847
3,1791,19848
3,1791,19848
3,1791,19848
3,1791,19853
3,1791,19856
3,1791,19856
3,1791,19856
3,1791,19946
3,1791,19946
3,1791,20332
3,1791,20333
3,1791,20333
3,1791,20414
3,1791,20414
3,1791,20414
3,1791,20416
3,1791,20416
3,1791,20417
3,1791,20417
3,1791,20417
3,1791,20418
3,1791,20418
3,1791,20876
3,1791,20876
3,1791,20908
3,1791,20908
3,1791,20910
3,1791,20947
3,1791,20992
3,1791,20995
3,1791,20995
3,1791,20995
3,1791,20994
3,1791,21007
3,1791,21007
3,1791,21007
3,1791,20995
3,1791,20995
3,1791,20995
3,1791,21008
3,11720,26775
3,11720,26775
3,11720,26775
3,11720,26782
3,11720,26782
3,11720,26802
3,11720,26802
4,8303,21004
4,8303,21006
4,4973,13497
4,4973,13497
4,4973,13775
4,4973,13775
4,3391,8610
4,3391,8610
5,6440,16773
5,6440,16774
5,9475,21230
5,9475,21230
5,8430,21281
5,8430,21281
5,8430,21281
5,3443,8807
5,3443,8807
6,5682,15402
6,5682,15403
6,5682,15403
6,5682,15403
6,10784,24313
6,10784,24313
6,10784,24313
6,1388,825
6,3241,8003
6,3241,8003
6,3241,8003
6,3241,8005
6,3241,8005
6,3241,8005
6,3241,8006
6,3241,8006
7,5277,14603
